,,MSE,R2
NVDA,CMR,0.000941501088058174,0.0
NVDA,CAPM,0.0006089279557932317,0.35323711940776126
NVDA,FF,0.0006026483526244554,0.3599068973277505
TSM,CMR,0.000471523296951189,0.0
TSM,CAPM,0.0002879915969334451,0.38923145728840347
TSM,FF,0.0002842960971423823,0.39706882145462263
AAPL,CMR,0.00020357580020839166,0.0
AAPL,CAPM,0.000138482208377851,0.31975112839496245
AAPL,FF,0.000136467116022502,0.3296496151172852
TSLA,CMR,0.0011308543611175381,0.0
TSLA,CAPM,0.0008939321323086382,0.20950728666312746
TSLA,FF,0.0008798155138697223,0.22199043119905648
MSFT,CMR,0.0001535139850720847,0.0
MSFT,CAPM,7.996043465276553e-05,0.4791325714382376
MSFT,FF,7.932836038517793e-05,0.4832499439843988
JPM,CMR,0.00012108402644132189,0.0
JPM,CAPM,0.00010256565670089668,0.15293817264492215
JPM,FF,0.0001023517947645483,0.15470440013696896
V,CMR,8.393575561874696e-05,0.0
V,CAPM,5.789430988746211e-05,0.31025449808982863
V,FF,5.78390839016552e-05,0.31091245351537766
